imgUrl,l1,l2,grass_region,MTD ADO,MTD ADG,MoM ADO,MoM ADG
https://cf.shopee.com.br/file/d8ba95524358d3dc7301a9a45734ce3c,美术用品,蜡笔和粉彩,巴西,0.25,6.96,6.5,8.08
https://cf.shopee.com.br/file/sg-11134201-7qvfs-lj74c638j80930,美术用品,蜡笔和粉彩,巴西,0.25,1.59,6.5,7.03
https://cf.shopee.com.br/file/sg-11134201-7qvg2-ljwpozs8f90r45,美术用品,蜡笔和粉彩,巴西,0.25,5.89,-0.25,-0.09
https://cf.shopee.com.br/file/sg-11134201-7qve3-lj0y9fais7pp6a,美术用品,蜡笔和粉彩,巴西,0.25,1.73,0.88,0.34
https://cf.shopee.com.br/file/sg-11134201-82631-ml6gb7ikxc7jbc,美术用品,蜡笔和粉彩,巴西,0.13,7.69,5.43,3.51
https://cf.shopee.com.br/file/sg-11134201-8261a-mmeabme5oy6860,美术用品,蜡笔和粉彩,巴西,0.13,7.47,,
https://cf.shopee.com.br/file/cn-11134207-820l4-mjz1gonko553c1,美术用品,其他的,巴西,47,575.54,-0.02,0.05
https://cf.shopee.com.br/file/cn-11134207-7ras8-m8ltetlvyr6lac,美术用品,其他的,巴西,24.38,174.86,0.18,0.16
https://cf.shopee.com.br/file/sg-11134201-81zub-miigrnpl998k57,美术用品,其他的,巴西,17.58,175.59,0.06,0.13
https://cf.shopee.com.br/file/sg-11134201-820oa-mncmbwl2x2bnf2,美术用品,其他的,巴西,8.36,49.05,-0.01,-0.02
https://cf.shopee.com.br/file/cn-11134207-7ras8-m545wzdzydo672,美术用品,其他的,巴西,8.25,69.31,-0.27,-0.24
https://cf.shopee.com.br/file/cn-11134207-820l4-ml7has5b9b7ob5,美术用品,其他的,巴西,7.75,85.98,-0.01,-0.02
https://cf.shopee.com.br/file/a2dc1c7f5fb27e0ca20cf47e0b210804,美术用品,其他的,巴西,7.63,37,0.55,0.47
https://cf.shopee.com.br/file/sg-11134201-7qvfm-li0luehp9ux9cd,美术用品,其他的,巴西,7.57,74.92,0.85,1.29
https://cf.shopee.com.br/file/sg-11134201-81zu3-miodyqj6gsug62,美术用品,其他的,巴西,7.54,51,-0.19,-0.02
https://cf.shopee.com.br/file/cn-11134207-7ras8-mcd5whbzchl98b,美术用品,其他的,巴西,7.5,65.87,0.09,0.32
https://cf.shopee.com.br/file/sg-11134201-822yp-mhvz6a70ptz480,美术用品,其他的,巴西,6.75,40.94,0.27,0.13
https://cf.shopee.com.br/file/sg-11134201-7rdy7-lyp3x3ao5pia5a,美术用品,其他的,巴西,6.5,32.22,-0.1,-0.24
https://cf.shopee.com.br/file/sg-11134201-7rdxk-m0so5u25ah0wf1,美术用品,其他的,巴西,6.5,32.45,-0.24,-0.24
https://cf.shopee.com.br/file/sg-11134201-822z2-mhw6y8dncz5u7c,美术用品,其他的,巴西,6.31,18.31,1.08,0.8
https://cf.shopee.com.br/file/sg-11134201-81zvo-mioeb1h7dwcn69,美术用品,其他的,巴西,6.08,36.58,0.42,0.09
https://cf.shopee.com.br/file/sg-11134201-822yi-mhvzh6vied4w19,美术用品,其他的,巴西,6,75.91,-0.18,0
https://cf.shopee.com.br/file/8601cdc37aea30a56a535902c1cfe83e,美术用品,其他的,巴西,5.06,18.18,0.09,0.07
https://cf.shopee.com.br/file/sg-11134201-822x8-mhw1mt1u093c1d,美术用品,其他的,巴西,4.83,18.81,-0.15,0.21
https://cf.shopee.com.br/file/cn-11134207-7ras8-m5x35bjhjy5y98,美术用品,其他的,巴西,4.75,125.31,0.11,0.12
https://cf.shopee.com.br/file/sg-11134201-822yn-mhw2d5onkjrad6,美术用品,其他的,巴西,4.65,21.22,-0.14,-0.11
https://cf.shopee.com.br/file/sg-11134201-81zwp-miodyqkd8b9j4a,美术用品,其他的,巴西,4.5,47.13,-0.17,-0.15
https://cf.shopee.com.br/file/cn-11134207-820l4-meo3d4pvjoxue8,美术用品,其他的,巴西,4.38,35.31,-0.11,0
https://cf.shopee.com.br/file/sg-11134201-7rbkk-lof6tk0f4bn43d,美术用品,其他的,巴西,4.25,33.71,0.34,0.41
https://cf.shopee.com.br/file/sg-11134201-82251-mhu8w7a26vpc3d,美术用品,其他的,巴西,4.25,16.06,-0.04,-0.24
https://cf.shopee.com.br/file/8fcfae22e725aa0f3124b391ad66cd34,美术用品,其他的,巴西,4.25,21.16,0.19,0.25
https://cf.shopee.com.br/file/sg-11134201-822y6-mhw040bg5gqq35,美术用品,其他的,巴西,4.13,52.25,-0.1,-0.08
https://cf.shopee.com.br/file/sg-11134201-7qvdm-lfktehp6x8l73b,美术用品,其他的,巴西,3.75,27.58,0.51,0.66
https://cf.shopee.com.br/file/sg-11134201-81zw0-mipqyycx9s7741,美术用品,其他的,巴西,3.75,31.83,0.62,0.82
https://cf.shopee.com.br/file/sg-11134201-82300-mhw1zb9h5rls28,美术用品,其他的,巴西,3.63,12.94,0.04,-0.09
https://cf.shopee.com.br/file/sg-11134201-8262a-mm8fa1hfflzjb6,美术用品,其他的,巴西,3.5,24.99,20,20.23
https://cf.shopee.com.br/file/br-11134201-7qukw-lewt15hleja7b9,美术用品,其他的,巴西,3.5,20.64,0.81,0.59
https://cf.shopee.com.br/file/1dc9adfca8f363d9958f3783316343a3,美术用品,其他的,巴西,3.5,13.83,1.04,1.05
https://cf.shopee.com.br/file/8616f562e5fed5cbea876c91582f7e4e,美术用品,其他的,巴西,3.28,13.35,0.25,0.8
https://cf.shopee.com.br/file/sg-11134201-22110-bau66m10wyjv9a,美术用品,其他的,巴西,3.25,79.88,0.47,0.93
https://cf.shopee.com.br/file/08870082b2d865861bb60c7282b24461,美术用品,其他的,巴西,3.25,18.15,1.91,1.48
https://cf.shopee.com.br/file/sg-11134201-81zuv-mmlk7c686jgi61,美术用品,其他的,巴西,3.25,25.76,47.75,67.65
https://cf.shopee.com.br/file/sg-11134201-81zvs-mmlillonvsat37,美术用品,其他的,巴西,3,17.27,21.5,23.45
https://cf.shopee.com.br/file/cn-11134207-7r98o-lwieiohskdnn55,美术用品,其他的,巴西,3,22.77,0.05,0.25
https://cf.shopee.com.br/file/sg-11134201-824gq-mecbzqnodszo0a,美术用品,其他的,巴西,2.96,0,0.16,-1
https://cf.shopee.com.br/file/sg-11134201-824iw-megymeulttkw1f,美术用品,其他的,巴西,2.88,34.93,-0.26,-0.29
https://cf.shopee.com.br/file/sg-11134201-7qvcz-letqenl1wa548b,美术用品,其他的,巴西,2.88,10.06,0.92,1.05
https://cf.shopee.com.br/file/sg-11134201-7qvd3-liimowz6gl7w9c,美术用品,其他的,巴西,2.88,44.07,0.07,0.03
https://cf.shopee.com.br/file/cn-11134207-820l4-me8cuwp28qv77f,美术用品,其他的,巴西,2.75,29.75,0.25,0.41
https://cf.shopee.com.br/file/cn-11134207-820l4-mg7lutvq22o840,美术用品,其他的,巴西,2.75,13.36,0.45,0.51
https://cf.shopee.com.br/file/eb8b382ea6928d7b673fe9383f4f838a,美术用品,其他的,巴西,2.69,18.02,0.28,0.49
https://cf.shopee.com.br/file/sg-11134201-7rdyd-lzwroe9yth0a29,美术用品,其他的,巴西,2.5,17.06,1.38,3.85
https://cf.shopee.com.br/file/cn-11134207-7ras8-m27zoxo5emtw15,美术用品,其他的,巴西,2.5,12.75,0.52,0.56
https://cf.shopee.com.br/file/sg-11134201-7rcd2-ltbuk36fg82770,美术用品,其他的,巴西,2.5,25.17,0.12,0.77
https://cf.shopee.com.br/file/cn-11134207-820l4-mncejw1neakld5,美术用品,其他的,巴西,2.5,19.69,1.59,1.99
https://cf.shopee.com.br/file/cn-11134207-7ras8-m44dn3parsvr88,美术用品,其他的,巴西,2.5,20.37,-0.05,-0.07
https://cf.shopee.com.br/file/3ac49c659237c302795f393f15912e36,美术用品,其他的,巴西,2.13,35.82,0.72,0.7
https://cf.shopee.com.br/file/860b0e7900c010ee5171fec69a031e37,美术用品,其他的,巴西,2.05,34.27,1.1,1.59
https://cf.shopee.com.br/file/sg-11134201-824ge-mes9eydirr4532,美术用品,其他的,巴西,2.03,21.97,0.07,-0.11
https://cf.shopee.com.br/file/cn-11134207-820l4-mncqw9oyt3b660,美术用品,其他的,巴西,1.75,30.05,7.75,8.48
https://cf.shopee.com.br/file/cn-11134207-7ras8-m0mqnig7db2m91,美术用品,其他的,巴西,1.25,34.04,0.29,0.4
https://cf.shopee.com.br/file/sg-11134201-7rccs-m65c41ct1gt416,美术用品,其他的,巴西,1.25,26.5,-0.06,-0.03
https://cf.shopee.com.br/file/sg-11134201-81zv6-mimw6goacgeca6,美术用品,其他的,巴西,1,48.97,0.5,0.68
https://cf.shopee.com.br/file/sg-11134201-7rdyi-mdcoelt5lqk79b,美术用品,其他的,巴西,1,23.6,0.25,0.67
https://cf.shopee.com.br/file/904d6b9314122e513e7e8dadd4853402,美术用品,其他的,巴西,1,23.34,0.71,3.58
https://cf.shopee.com.br/file/sg-11134201-7rd68-lv33az75yobreb,美术用品,其他的,巴西,1,21.72,-0.09,0.05
https://cf.shopee.com.br/file/sg-11134201-7rbk0-lkyrilpynl42ed,美术用品,其他的,巴西,0.88,24.01,-0.56,-0.54
https://cf.shopee.com.br/file/sg-11134201-824jc-mfamq64ejdag39,美术用品,其他的,巴西,0.75,20.93,-0.17,-0.02
https://cf.shopee.com.br/file/cn-11134207-820l4-mnbar8mq8ute86,美术用品,其他的,巴西,0.75,27.54,2.1,0.53
https://cf.shopee.com.br/file/sg-11134201-7rdwd-mc65zm6m1oni6b,美术用品,其他的,巴西,0.58,23.81,0.29,0.65
https://cf.shopee.com.br/file/sg-11134201-82618-mm7jvvivk3ya10,美术用品,其他的,巴西,0.5,21.04,1.42,0.21
https://cf.shopee.com.br/file/cn-11134207-820l4-mjp1o34l4bgk09,美术用品,其他的,巴西,0.25,21.41,-0.47,-0.69
https://cf.shopee.com.br/file/cn-11134207-820l4-mhac5fr9f8y255,美术用品,画笔,巴西,40.04,241.64,0.66,0.71
https://cf.shopee.com.br/file/sg-11134201-822xy-mhw3nrns8s1u89,美术用品,画笔,巴西,26.6,163.81,0.85,0.86
https://cf.shopee.com.br/file/cn-11134207-7ras8-m7t4yqivp4m49c,美术用品,画笔,巴西,19,83.19,-0.31,-0.24
https://cf.shopee.com.br/file/sg-11134201-822wq-mhw01cys7x8ofe,美术用品,画笔,巴西,13.59,69.54,0.16,0.18
https://cf.shopee.com.br/file/cn-11134207-7ras8-mamg1d65dzu41a,美术用品,画笔,巴西,12.13,46.91,-0.09,-0.07
https://cf.shopee.com.br/file/sg-11134201-822xn-mhw1x4a55laeb6,美术用品,画笔,巴西,11.32,50.54,0.64,0.76
